movieId,title,genres,avg_rating
1,Toy Story (1995),Animation|Children|Comedy,3.8783185840707963
2,GoldenEye (1995),Action|Adventure|Thriller,3.2061068702290076
3,Four Rooms (1995),Thriller,3.033333333333333
4,Get Shorty (1995),Action|Comedy|Drama,3.550239234449761
5,Copycat (1995),Crime|Drama|Thriller,3.302325581395349
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,3.576923076923077
7,Twelve Monkeys (1995),Drama|Sci-Fi,3.798469387755102
8,Babe (1995),Children|Comedy|Drama,3.9954337899543377
9,Dead Man Walking (1995),Drama,3.8963210702341136
10,Richard III (1995),Drama|War,3.831460674157303
11,Seven (Se7en) (1995),Crime|Thriller,3.847457627118644
12,"Usual Suspects, The (1995)",Crime|Thriller,4.385767790262173
13,Mighty Aphrodite (1995),Comedy,3.4184782608695654
14,"Postino, Il (1994)",Drama|Romance,3.9672131147540983
15,Mr. Holland's Opus (1995),Drama,3.7781569965870307
16,French Twist (Gazon maudit) (1995),Comedy|Romance,3.2051282051282053
17,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,3.119565217391304
18,"White Balloon, The (1995)",Drama,2.8
19,Antonia's Line (1995),Drama,3.9565217391304346
20,Angels and Insects (1995),Drama|Romance,3.4166666666666665
21,Muppet Treasure Island (1996),Action|Adventure|Comedy|Musical|Thriller,2.761904761904762
22,Braveheart (1995),Action|Drama|War,4.151515151515151
23,Taxi Driver (1976),Drama|Thriller,4.1208791208791204
24,Rumble in the Bronx (1995),Action|Adventure|Crime,3.4482758620689653
25,"Birdcage, The (1996)",Comedy,3.4436860068259385
26,"Brothers McMullen, The (1995)",Comedy,3.452054794520548
27,Bad Boys (1995),Action,3.1052631578947367
28,Apollo 13 (1995),Action|Drama|Thriller,3.931159420289855
29,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.6666666666666665
30,Belle de jour (1967),Drama,3.945945945945946
31,Crimson Tide (1995),Drama|Thriller|War,3.6298701298701297
32,Crumb (1994),Documentary,3.7901234567901234
33,Desperado (1995),Action|Romance|Thriller,3.4536082474226806
34,"Doom Generation, The (1995)",Comedy|Drama,2.7142857142857144
35,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.1818181818181817
36,Mad Love (1995),Drama|Romance,2.1538461538461537
37,Nadja (1994),Drama,2.25
38,"Net, The (1995)",Sci-Fi|Thriller,3.0083333333333333
39,Strange Days (1995),Action|Crime|Sci-Fi,3.264367816091954
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,2.8947368421052633
41,Billy Madison (1995),Comedy,3.081081081081081
42,Clerks (1994),Comedy,3.804054054054054
43,Disclosure (1994),Drama|Thriller,3.0
44,Dolores Claiborne (1994),Drama|Thriller,3.3417721518987342
45,Eat Drink Man Woman (1994),Comedy|Drama,4.05
46,Exotica (1994),Drama,3.5555555555555554
47,Ed Wood (1994),Comedy|Drama,3.601503759398496
48,Hoop Dreams (1994),Documentary,4.094017094017094
49,I.Q. (1994),Comedy|Romance,3.3209876543209877
50,Star Wars (1977),Action|Adventure|Romance|Sci-Fi|War,4.3584905660377355
51,Legends of the Fall (1994),Drama|Romance|War|Western,3.45679012345679
52,"Madness of King George, The (1994)",Drama,3.769230769230769
53,Natural Born Killers (1994),Action|Thriller,2.953125
54,Outbreak (1995),Action|Drama|Thriller,3.2403846153846154
55,"Professional, The (1994)",Crime|Drama|Romance|Thriller,3.704697986577181
56,Pulp Fiction (1994),Crime|Drama,4.060913705583756
57,Priest (1994),Drama,4.0
58,Quiz Show (1994),Drama,3.645714285714286
59,Three Colors: Red (1994),Drama,4.0602409638554215
60,Three Colors: Blue (1993),Drama,4.015625
61,Three Colors: White (1994),Drama,3.864406779661017
62,Stargate (1994),Action|Adventure|Sci-Fi,3.141732283464567
63,"Santa Clause, The (1994)",Children|Comedy,3.097560975609756
64,"Shawshank Redemption, The (1994)",Drama,4.445229681978798
65,What's Eating Gilbert Grape (1993),Comedy|Drama,3.5391304347826087
66,While You Were Sleeping (1995),Comedy|Romance,3.549382716049383
67,Ace Ventura: Pet Detective (1994),Comedy,3.0485436893203883
68,"Crow, The (1994)",Action|Romance|Thriller,3.417910447761194
69,Forrest Gump (1994),Comedy|Romance|War,3.853582554517134
70,Four Weddings and a Funeral (1994),Comedy|Romance,3.6613545816733066
71,"Lion King, The (1994)",Animation|Children|Musical,3.7818181818181817
72,"Mask, The (1994)",Comedy|Crime|Fantasy,3.193798449612403
73,Maverick (1994),Action|Comedy|Western,3.46875
74,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,3.0
75,Brother Minister: The Assassination of Malcolm X (1994),Documentary,3.0
76,Carlito's Way (1993),Crime|Drama,3.4074074074074074
77,"Firm, The (1993)",Drama|Thriller,3.2781456953642385
78,Free Willy (1993),Adventure|Children|Drama,2.4545454545454546
79,"Fugitive, The (1993)",Action|Thriller,4.044642857142857
80,Hot Shots! Part Deux (1993),Action|Comedy|War,2.764705882352941
81,"Hudsucker Proxy, The (1994)",Comedy|Romance,3.5545454545454547
82,Jurassic Park (1993),Action|Adventure|Sci-Fi,3.7203065134099615
83,Much Ado About Nothing (1993),Comedy|Romance,4.0625
84,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,3.0
85,"Ref, The (1994)",Comedy,3.0344827586206895
86,"Remains of the Day, The (1993)",Drama,3.94
87,Searching for Bobby Fischer (1993),Drama,3.9057971014492754
88,Sleepless in Seattle (1993),Comedy|Romance,3.539906103286385
89,Blade Runner (1982),Film-Noir|Sci-Fi,4.138181818181818
90,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,3.0526315789473686
91,"Nightmare Before Christmas, The (1993)",Children|Comedy|Musical,3.5874125874125875
92,True Romance (1993),Action|Crime|Romance,3.6153846153846154
93,Welcome to the Dollhouse (1995),Comedy|Drama,3.7232142857142856
94,Home Alone (1990),Children|Comedy,3.0875912408759123
95,Aladdin (1992),Animation|Children|Comedy|Musical,3.8127853881278537
96,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,4.0067796610169495
97,Dances with Wolves (1990),Adventure|Drama|Western,3.79296875
98,"Silence of the Lambs, The (1991)",Drama|Thriller,4.28974358974359
99,Snow White and the Seven Dwarfs (1937),Animation|Children|Musical,3.7093023255813953
100,Fargo (1996),Crime|Drama|Thriller,4.155511811023622
101,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,3.26027397260274
102,"Aristocats, The (1970)",Animation|Children,3.1296296296296298
103,All Dogs Go to Heaven 2 (1996),Animation|Children|Musical,1.8666666666666667
104,Theodore Rex (1995),Comedy,1.4
105,Sgt. Bilko (1996),Comedy,2.5675675675675675
106,Diabolique (1996),Drama|Thriller,2.887323943661972
107,Moll Flanders (1996),Drama,3.5
108,Kids in the Hall: Brain Candy (1996),Comedy,3.076923076923077
109,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,3.4307692307692306
110,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,2.5161290322580645
111,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,3.485294117647059
112,Flipper (1996),Adventure|Children,2.45
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama,4.111111111111111
114,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,4.447761194029851
115,"Haunted World of Edward D. Wood Jr., The (1995)",Documentary,3.7333333333333334
116,Cold Comfort Farm (1995),Comedy,3.824
117,"Rock, The (1996)",Action|Adventure|Thriller,3.693121693121693
